Name;Birthday;Address (CAP);Age;Workclass;Education;Marital-status;Occupation;Relationship;Race;Sex;Native-Country;Income
Ghandi;08/12/1995;234, Italy;24; Private; HS-grad; Never-married; Sales; Not-in-family; Black; Male; Peru; <=50K
Barack;04/11/1994;730, France;25; Self-emp-not-inc; Some-college; Divorced; Handlers-cleaners; Own-child; White; Male; Germany; <=50K
Obama;27/06/1967;262728, Austria;82; Self-emp-inc; Some-college; Widowed; Other-service; Not-in-family; Asian-Pac-Islander; Male; Jamaica; >50K
Otella;03/02/1970;4000, Phillipines;49; State-gov; 10th; Married-civ-spouse; Sales; Wife; Other; Female; Mexico; <=50K
Prapapaola;30/08/1995;22556, Africa;24; Federal-gov; 7th-8th; Never-married; Other-service; Other-relative; Other; Female; Canada; <=50K
Ilenia;01/12/1990;20345, Germany;29; Private; 9th; Never-married; Exec-managerial; Wife; Asian-Pac-Islander; Female; Iran; <=50K
Malone;05/05/1972;9876, Italy;47; Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male; United-States; >50K
Posterina;20/12/1978;6574, England;41; Self-emp-inc; Some-college; Divorced; Machine-op-inspct; Not-in-family; White; Female; Honduras; >50K
Wile;30/11/1991;2345, Africa;28; Private; Some-college; Never-married; Protective-serv; Own-child; White; Male; Honduras; <=50K
Siria;01/07/1985;2013, Iran;34; Private; Prof-school; Never-married; Prof-specialty; Not-in-family; Asian-Pac-Islander; Female; Italy; >50K
Emma;04/02/1989;3871, Austria;30; Federal-gov; Prof-school; Never-married; Prof-specialty; Not-in-family; Black; Female; Jamaica; <=50K
Oreck;20/08/1979;2111, Germany;40; Local-gov; Prof-school; Separated; Prof-specialty; Own-child; Black; Female; Canada; <=50K
Violo;03/04/1973;456, United-States;46; Private; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male; United-States; >50K
Orend;25/03/1961;552, United-States;58; State-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male; United-States; >50K
SufferMan;11/09/1983;789, United-States;36; Private; Masters; Married-civ-spouse; Prof-specialty; Other-relative; Asian-Pac-Islander; Male; United-States; >50K
TrueMan;01/09/1982;678, United-States;36; Private; Masters; Married-civ-spouse; Sales; Husband; White; Male; France; >50K
Goldman;28/02/1973;136, United-States;46; Self-emp-inc; Masters; Married-civ-spouse; Exec-managerial; Wife; Black; Female; Jamaica; >50K
Palee;04/03/1966;4923, Iran;53; Private; HS-grad; Divorced; Transport-moving; Not-in-family; White; Male; Italy; >50K
Wongo;07/04/1979;711, Canada;43; Private; HS-grad; Married-spouse-absent; Craft-repair; Not-in-family; Asian-Pac-Islander; Male; Peru; >50K
Istine;30/05/1986;933, Canada;33; Private; HS-grad; Never-married; Craft-repair; Own-child; Black; Male; Peru; <=50K
Marcelo;12/06/1968;651, Italy;55; Private; HS-grad; Never-married; Craft-repair; Not-in-family; White; Male; England; >50K
Bianca;09/04/1981;981, United-States;38; Private; HS-grad; Never-married; Prof-specialty; Not-in-family; White; Female; Iran; >50K
Kairi;14/12/1977;1234, Phillipines;80; State-gov; HS-grad; Never-married; Protective-serv; Other-relative; Black; Female; Mexico; <=50K
